Primary_Type,Year,Count
ARSON,2017,1
ARSON,2020,1
ARSON,2021,3
ASSAULT,2017,94
ASSAULT,2018,101
ASSAULT,2019,125
ASSAULT,2020,114
ASSAULT,2021,137
ASSAULT,2022,25
BATTERY,2017,209
BATTERY,2018,214
BATTERY,2019,254
BATTERY,2020,182
BATTERY,2021,232
BATTERY,2022,45
BURGLARY,2017,102
BURGLARY,2018,104
BURGLARY,2019,55
BURGLARY,2020,71
BURGLARY,2021,48
BURGLARY,2022,8
CRIM SEXUAL ASSAULT,2017,23
CRIM SEXUAL ASSAULT,2018,17
CRIM SEXUAL ASSAULT,2019,7
CRIM SEXUAL ASSAULT,2020,1
CRIMINAL DAMAGE,2017,133
CRIMINAL DAMAGE,2018,287
CRIMINAL DAMAGE,2019,136
CRIMINAL DAMAGE,2020,130
CRIMINAL DAMAGE,2021,134
CRIMINAL DAMAGE,2022,22
CRIMINAL SEXUAL ASSAULT,2018,3
CRIMINAL SEXUAL ASSAULT,2019,2
CRIMINAL SEXUAL ASSAULT,2020,11
CRIMINAL SEXUAL ASSAULT,2021,19
CRIMINAL SEXUAL ASSAULT,2022,3
CRIMINAL TRESPASS,2017,24
CRIMINAL TRESPASS,2018,34
CRIMINAL TRESPASS,2019,36
CRIMINAL TRESPASS,2020,23
CRIMINAL TRESPASS,2021,20
CRIMINAL TRESPASS,2022,3
DECEPTIVE PRACTICE,2017,164
DECEPTIVE PRACTICE,2018,190
DECEPTIVE PRACTICE,2019,180
DECEPTIVE PRACTICE,2020,158
DECEPTIVE PRACTICE,2021,144
DECEPTIVE PRACTICE,2022,23
HOMICIDE,2017,1
HOMICIDE,2018,4
HOMICIDE,2021,5
HUMAN TRAFFICKING,2018,1
HUMAN TRAFFICKING,2020,1
INTERFERENCE WITH PUBLIC OFFICER,2017,1
INTERFERENCE WITH PUBLIC OFFICER,2018,1
INTERFERENCE WITH PUBLIC OFFICER,2019,3
INTERFERENCE WITH PUBLIC OFFICER,2020,2
INTERFERENCE WITH PUBLIC OFFICER,2022,1
INTIMIDATION,2017,2
INTIMIDATION,2018,2
INTIMIDATION,2019,1
KIDNAPPING,2018,1
KIDNAPPING,2019,1
KIDNAPPING,2020,1
LIQUOR LAW VIOLATION,2017,2
LIQUOR LAW VIOLATION,2018,2
MOTOR VEHICLE THEFT,2017,64
MOTOR VEHICLE THEFT,2018,64
MOTOR VEHICLE THEFT,2019,65
MOTOR VEHICLE THEFT,2020,62
MOTOR VEHICLE THEFT,2021,111
MOTOR VEHICLE THEFT,2022,34
NARCOTICS,2017,7
NARCOTICS,2018,8
NARCOTICS,2019,16
NARCOTICS,2020,10
NARCOTICS,2021,2
NARCOTICS,2022,1
OBSCENITY,2018,2
OBSCENITY,2019,1
OBSCENITY,2020,2
OBSCENITY,2021,2
OFFENSE INVOLVING CHILDREN,2017,14
OFFENSE INVOLVING CHILDREN,2018,16
OFFENSE INVOLVING CHILDREN,2019,15
OFFENSE INVOLVING CHILDREN,2020,11
OFFENSE INVOLVING CHILDREN,2021,10
OTHER OFFENSE,2017,118
OTHER OFFENSE,2018,100
OTHER OFFENSE,2019,113
OTHER OFFENSE,2020,104
OTHER OFFENSE,2021,94
OTHER OFFENSE,2022,18
PUBLIC PEACE VIOLATION,2017,7
PUBLIC PEACE VIOLATION,2018,8
PUBLIC PEACE VIOLATION,2019,2
PUBLIC PEACE VIOLATION,2020,9
PUBLIC PEACE VIOLATION,2021,2
ROBBERY,2017,98
ROBBERY,2018,111
ROBBERY,2019,72
ROBBERY,2020,81
ROBBERY,2021,97
ROBBERY,2022,20
SEX OFFENSE,2017,6
SEX OFFENSE,2018,6
SEX OFFENSE,2019,14
SEX OFFENSE,2020,5
SEX OFFENSE,2021,16
STALKING,2018,6
STALKING,2019,5
STALKING,2020,4
STALKING,2021,3
STALKING,2022,1
THEFT,2017,613
THEFT,2018,640
THEFT,2019,586
THEFT,2020,419
THEFT,2021,549
THEFT,2022,68
WEAPONS VIOLATION,2017,5
WEAPONS VIOLATION,2018,6
WEAPONS VIOLATION,2019,14
WEAPONS VIOLATION,2020,16
WEAPONS VIOLATION,2021,19
WEAPONS VIOLATION,2022,2
